Afiliación,Nombre de Afiliación,Moneda,Tipo de Transacción,Número de Control,Número de Tarjeta,Tipo de Tarjeta,Monto de Transacción Signo,Monto de Disposición,Fecha Transacción,Diferimiento Inicial,Tipo de Plan,Número de Pagos,Código Autorización,Referencia,Referencia Interbancaria,Referencia Cliente 1,Referencia Cliente 2,Referencia Cliente 3,Terminal ID,Fecha Liberación,Fecha Aplicación,Fecha de Controversia,Fecha Retención,Giro Comisión,Importe Depósito,Total de IVA,Total de Comisiones,IVA de Pagos Diferidos,IVA de Disposición Pagado,IVA de Disposición Cobrado,Comisión de Disposición Pagado,Comisión de Disposición Cobrado,Comisión Pagos Diferidos,Validación 3D Secure,Conversión Global Banorte,Fuente de Transacción,Lote de Transacción, Hora de Transacción
09662848,FORMULA GAS,MXP,1,458177080003091153832900035685,****************,Débito,356.85,0.0,19/12/2025,0,0,0,002164,731576353546,74518995353009796628480,,,,45817708,01/01/0001,22/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.63,-3.93,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,15:40:32
07404328,TOTALGAS,MXP,1,534116340007527934504800050000,****************,Débito,500.0,0.0,18/12/2025,0,0,0,001206,821457169106,74518995352000574043282,,,,53411634,01/01/0001,19/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.88,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,09:08:30
07539310,TOTAL GAS,MXP,1,535529170008831738755600010000,****************,Débito,100.0,0.0,02/12/2025,0,0,0,000011,731537964748,74518995336001575393107,,,,53552917,01/01/0001,03/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,18:55:36
09662848,FORMULA GAS,MXP,1,458177100003251213051000095160,****************,Débito,951.6,0.0,07/12/2025,0,0,0,130263,731548357852,74518995341004996628484,,,,45817710,01/01/0001,08/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.68,-10.47,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,11:14:08
09231577,GASOL VILLA,MXP,1,232139020005447456974300030011,****************,Débito,300.11,0.0,14/12/2025,0,0,0,623387,731564029809,74518995348000892315773,,,,23213902,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.38,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,10:11:06
09662848,FORMULA GAS,MXP,1,458177080005751292227600400000,****************,Débito,4000.0,0.0,12/12/2025,0,0,0,470715,731560795967,74518995346019396628483,,,,45817708,01/01/0001,15/12/2025,01/01/0001,01/01/0001,5541,0.0,-7.04,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,18:17:26
07404318,TOTALGAS I,MXP,1,533977910003338641340200010000,****************,Débito,100.0,0.0,17/12/2025,0,0,0,023749,731572352894,75445505351000574043186,,,,53397791,01/01/0001,18/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.18,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,,N,PRO1,,20:42:36
09636630,TOTALGAS,MXP,1,513696190004056031222100020000,****************,Crédito,200.0,0.0,16/12/2025,0,0,0,775089,731570054562,74518995350000796366307,,,,51369619,01/01/0001,17/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.35,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,20:55:41
09231577,GASOL VILLA,MXP,1,232139020006524427952900102082,****************,Débito,1020.82,0.0,15/12/2025,0,0,0,448501,731566516729,74518995349003192315773,,,,23213902,01/01/0001,16/12/2025,01/01/0001,01/01/0001,5541,0.0,-1.31,-8.17,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,13:33:54
09662848,FORMULA GAS,MXP,1,458177080003028806673200050000,****************,Débito,500.0,0.0,28/12/2025,0,0,0,883063,731594833684,74518995362015796628486,,,,45817708,01/01/0001,29/12/2025,01/01/0001,01/01/0001,5541,0.0,-0.88,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,,N,EGLO,,21:53:46
