Afiliación,Nombre de Afiliación,Moneda,Estatus de Transacción,Tipo transaccion,Número de Control,Número de Tarjeta,Tipo de Tarjeta,Monto de Transacción Signo,Monto de Disposición,Fecha Transacción,Diferimiento Inicial,Tipo de Plan,Número de Pagos,Código Autorización,Referencia,Referencia Interbancaria,Referencia Cliente 1,Referencia Cliente 2,Referencia Cliente 3,Terminal ID,Fecha Liberación,Fecha Aplicación,Fecha de Controversia,Fecha Retención,Giro Comisión,Importe Depósito,Total de IVA,Total de Comisiones,Comisión de Tarifa Adquiriente,IVa de Tarifa Adquiriente,IVA Cobros neto,Tasa,Sobretasa,IVA de Pagos Diferidos,IVA de Disposición Pagado,IVA de Disposición Cobrado,Comisión de Disposición Pagado,Comisión de Disposición Cobrado,Comisión Pagos Diferidos,Validación 3D Secure,Conversión Global Banorte,Fuente de Transacción,Lote de Transacción,Hora de Transacción
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="375835790007846964831800020000",****************,Débito,200,0,19/03/2026,0,0,0,="216622",="821543240534",="75445506078000286604556",,,,37583579,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-0.26,-1.6,0,-0.26,0,-1.6,0,0,0,0,0,0,0,,N,MCCC,,00:50:13
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008122580153600020000",****************,Débito,200,0,19/03/2026,0,0,0,="303195",="821543629526",="74518996078000586604551",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-0.26,-1.6,0,-0.26,0,-1.6,0,0,0,0,0,0,0,,N,EGLO,,13:02:45
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008110171994100067623",****************,Crédito,676.23,0,19/03/2026,0,0,0,="085494",="731755203511",="75445506078000486604554",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-1.3,-8.11,0,-1.3,0,-8.11,0,0,0,0,0,0,0,,N,PRO1,,11:36:18
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008199369999900066630",****************,Débito,666.3,0,19/03/2026,0,0,0,="016983",="821544020915",="74518996078000986604557",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-0.85,-5.33,0,-0.85,0,-5.33,0,0,0,0,0,0,0,1,N,PRO1,,18:25:41
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="375835790007820168028600050000",****************,Débito,500,0,19/03/2026,0,0,0,="090676",="320149229454",="74518996078000186604555",,,,37583579,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-0.64,-4,0,-0.64,0,-4,0,0,0,0,0,0,0,1,N,PRO1,,00:03:14
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008176163120400020000",****************,Crédito,200,0,19/03/2026,0,0,0,="017251",="821543831489",="75445506078000886604550",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-0.38,-2.4,0,-0.38,0,-2.4,0,0,0,0,0,0,0,,N,PRO1,,15:50:57
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008156675242200045000",****************,Débito,450,0,19/03/2026,0,0,0,="142655",="731755717549",="74518996078000786604559",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-0.58,-3.6,0,-0.58,0,-3.6,0,0,0,0,0,0,0,,N,EGLO,,15:01:19
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008108554045400056225",****************,Crédito,562.25,0,19/03/2026,0,0,0,="458270",="731755012397",="75445506078000386604555",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-1.08,-6.75,0,-1.08,0,-6.75,0,0,0,0,0,0,0,,N,MCCC,,10:03:51
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008186300201700037980",****************,Crédito,379.8,0,19/03/2026,0,0,0,="000316",="821544019837",="74518996078001086604554",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-0.73,-4.56,0,-0.73,0,-4.56,0,0,0,0,0,0,0,,N,PRO1,,18:24:34
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008202585572000030000",****************,Crédito,300,0,19/03/2026,0,0,0,="519784",="731756501932",="75445506078001186604555",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-0.58,-3.6,0,-0.58,0,-3.6,0,0,0,0,0,0,0,,N,PRO1,,20:25:32
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008234740456700030000",****************,Débito,300,0,19/03/2026,0,0,0,="968899",="731756749588",="74518996079000386604552",,,,51987152,01/01/0001,23/03/2026,01/01/0001,01/01/0001,5541,0,-0.38,-2.4,0,-0.38,0,-2.4,0,0,0,0,0,0,0,,N,PRO1,,23:43:22
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008137232918500037980",****************,Crédito,379.8,0,19/03/2026,0,0,0,="182388",="821543645795",="74518996078000686604550",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-0.73,-4.56,0,-0.73,0,-4.56,0,0,0,0,0,0,0,,N,EGLO,,13:15:20
08660455,DIAZ GAS SA CV,MXP,NORMAL,Venta,="519871520008212678554400094963",****************,Crédito,949.63,0,19/03/2026,0,0,0,="565325",="731756639135",="74518996078001286604552",,,,51987152,01/01/0001,20/03/2026,01/01/0001,01/01/0001,5541,0,-1.82,-11.4,0,-1.82,0,-11.4,0,0,0,0,0,0,0,,N,EGLO,,21:44:56
